resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-051/,SAME-AS,/orgs/PIH/sources/PIH/,4063,Vitamin A,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-052/,SAME-AS,/orgs/PIH/sources/PIH/,88,Acetylsalicylic acid,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-053/,SAME-AS,/orgs/PIH/sources/PIH/,12119,Calcium carbonate,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-054/,SAME-AS,/orgs/PIH/sources/PIH/,2169,HIV test result,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-055/,SAME-AS,/orgs/PIH/sources/PIH/,12265,Rapid syphilis test,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-056/,SAME-AS,/orgs/PIH/sources/PIH/,2439,Hepatitis B surface antigen test,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-057/,SAME-AS,/orgs/PIH/sources/PIH/,11464,Malaria RDT,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-058/,SAME-AS,/orgs/PIH/sources/PIH/,21,Hemoglobin,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-059/,SAME-AS,/orgs/PIH/sources/PIH/,887,Serum glucose,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-060/,SAME-AS,/orgs/PIH/sources/PIH/,12272,Urine protein (dipstick),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-061/,SAME-AS,/orgs/PIH/sources/PIH/,12292,"Glucose measurement, qualitative, urine",high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-062/,SAME-AS,/orgs/PIH/sources/PIH/,12312,White blood cells in urine,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-063/,SAME-AS,/orgs/PIH/sources/PIH/,12273,Urine nitrite test,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-065/,SAME-AS,/orgs/PIH/sources/PIH/,300,Blood group,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-066/,SAME-AS,/orgs/PIH/sources/PIH/,20034,Rh factor,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-067/,SAME-AS,/orgs/PIH/sources/PIH/,1544,Contraceptive use,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-068/,SAME-AS,/orgs/PIH/sources/PIH/,17,Td booster,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-069/,SAME-AS,/orgs/PIH/sources/PIH/,13053,Received insecticide treated bednet,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-070/,SAME-AS,/orgs/PIH/sources/PIH/,45,Urine pregnancy test,high
