id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0045,Child Scoreboard Activity,,,,fallback,,ChildScoreboardActivity,client/src/elm/Backend/ChildScoreboardActivity/Model.elm,union_type,Coded
EHEZA-0046,Child Scorecard,Ifishi y’Imikurire y’Umwana,Ikarata y'ikurikiranwa ry'umwana,Jaantuska Canuga,translation,ChildScoreboardNCDA,ChildScoreboardActivity.ChildScoreboardNCDA,client/src/elm/Backend/ChildScoreboardActivity/Model.elm,union_constructor,N/A
EHEZA-0047,Vaccination History,Amakuru ku Nkingo,Akahise k'Urucanco,,translation,ChildScoreboardVaccinationHistory,ChildScoreboardActivity.ChildScoreboardVaccinationHistory,client/src/elm/Backend/ChildScoreboardActivity/Model.elm,union_constructor,N/A
EHEZA-0048,Clinic,,,,fallback,,Clinic,client/src/elm/Backend/Clinic/Model.elm,record_type,N/A
EHEZA-0049,Name,,,,fallback,,Clinic.name,client/src/elm/Backend/Clinic/Model.elm,record_field,Text
EHEZA-0050,Health Center Id,,,,fallback,,Clinic.healthCenterId,client/src/elm/Backend/Clinic/Model.elm,record_field,Text
EHEZA-0051,Clinic Type,,,,fallback,,Clinic.clinicType,client/src/elm/Backend/Clinic/Model.elm,record_field,Coded
EHEZA-0052,Village Id,,,,fallback,,Clinic.villageId,client/src/elm/Backend/Clinic/Model.elm,record_field,Text
EHEZA-0053,Achi,,,,translation,Achi,ClinicType.Achi,client/src/elm/Backend/Clinic/Model.elm,union_constructor,N/A
EHEZA-0054,CHW,,,,translation,Chw,ClinicType.Chw,client/src/elm/Backend/Clinic/Model.elm,union_constructor,N/A
EHEZA-0055,Fbf,,,,translation,Fbf,ClinicType.Fbf,client/src/elm/Backend/Clinic/Model.elm,union_constructor,N/A
EHEZA-0056,Pmtct,,,,translation,Pmtct,ClinicType.Pmtct,client/src/elm/Backend/Clinic/Model.elm,union_constructor,N/A
EHEZA-0057,Sorwathe,,,,translation,Sorwathe,ClinicType.Sorwathe,client/src/elm/Backend/Clinic/Model.elm,union_constructor,N/A
EHEZA-0058,Counseling Topic,,,,fallback,,CounselingTopic,client/src/elm/Backend/Counseling/Model.elm,record_type,N/A
EHEZA-0059,Counseling Timing,,,,fallback,,CounselingTiming,client/src/elm/Backend/Counseling/Model.elm,union_type,Coded
EHEZA-0060,Entry,,,,fallback,,CounselingTiming.Entry,client/src/elm/Backend/Counseling/Model.elm,union_constructor,N/A
EHEZA-0061,Before Midpoint,,,,fallback,,CounselingTiming.BeforeMidpoint,client/src/elm/Backend/Counseling/Model.elm,union_constructor,N/A
EHEZA-0062,Mid Point,,,,fallback,,CounselingTiming.MidPoint,client/src/elm/Backend/Counseling/Model.elm,union_constructor,N/A
EHEZA-0063,Before Exit,,,,fallback,,CounselingTiming.BeforeExit,client/src/elm/Backend/Counseling/Model.elm,union_constructor,N/A
EHEZA-0064,Exit,,,,fallback,,CounselingTiming.Exit,client/src/elm/Backend/Counseling/Model.elm,union_constructor,N/A
EHEZA-0065,Counseling Schedule,,,,fallback,,CounselingSchedule,client/src/elm/Backend/Counseling/Model.elm,record_type,N/A
EHEZA-0066,Timing,,,,fallback,,CounselingSchedule.timing,client/src/elm/Backend/Counseling/Model.elm,record_field,Coded
EHEZA-0067,Topics,,,,fallback,,CounselingSchedule.topics,client/src/elm/Backend/Counseling/Model.elm,record_field,Text
