id,translation_id,english,kinyarwanda,kirundi,somali
EH-PER-003,NationalIdNumber,National ID Number,Numero y'irangamuntu,Inomero y'akarangamuntu,Lambarka Kaarka Aqoonsiga Qaranka
EHEZA-U-0667,NCDASignHelperHeader.FiveFoodGroups,Food groups,Amoko y'ibiribwa,,
EHEZA-U-0668,NCDAANCNewbornItemLabel.RegularCheckups,Regular prenatal and postpartum checkups,Yisuzumishije uko bikwiye atwite na nyuma yo kubyara,Kwisuzumisha buri igihe imbere n'inyuma yo kuvyara,La socodka joogtada ah ee dhalmada kahor iyo kadib
EHEZA-U-0669,NCDAANCNewbornItemLabel.IronDuringPregnancy,Iron during pregnancy,Yafashe umuti wongera amaraso atwite,Icunyunyu c'icuma mu gihe c'imbanyi,Macdanta Xilliga Uurka
EHEZA-U-0670,NCDANutritionBehaviorItemLabel.MealsADay,Number of times a child eats a day,Inshuro umwana afata ifunguro ku munsi,Igitigiri c'incuro umwana afungurako k'umunsi,Tirada inta jeer uu canuga wax cuno maalinkii
EHEZA-U-0671,NCDATargetedInterventionsItemLabel.TreatmentForAcuteMalnutrition,Treatment for acute malnutrition (severe or moderate),Kuvura imiritre mibi  ifatiyeho(Ikabije cg yoroheje),Ukuvura ingwara yo gufungura nabi ikaze (Ikaze canke igereranye),Daweynta nafaqo darada (dhexe iyo daran)
EHEZA-U-0672,NCDATargetedInterventionsItemLabel.TreatmentForDiarrhea,Treatment of diarrhea (ORS & Zinc),Kuvura impiswi(Ukoresheje Zinc cg ORS),Kuvura guhitwa (ORS & Zinc),Daweynta shubanka (ORS & Zink)
EH-NUT-020,NCDAUniversalInterventionsItemLabel.Deworming,Deworming,Imiti y'inzoka,vermifugation,Gooryaan Dilid
EHEZA-U-0673,NCDAUniversalInterventionsItemLabel.ECDServices,ECD services provided to child,Umwana yahawe servise n'ikigo mboneza mikurire,Ibikorwa vya IUM (DPE) bikorerwa umwana,
EHEZA-U-0674,NCDDangerSign.Dyspnea,Acute Shortness of Breath (Dyspnea),Guhumeka nabi biziyeho,Urugero rukaze rwo kubura impwemu,
EH-AI-017,NCDDangerSign.ChestPain,Chest Pain,Kubabara mu gatuza,Ububabare bw'igikiriza,Xabad Xanuun
EHEZA-U-0675,NCDDangerSign.FlankPain,Flank Pain,Kubabara mu Ibondo,Ububabare bwo m'urubavu,Qaar Xanuun
EHEZA-U-0676,NCDDangerSign.Hematuria,Blood in Urine (Hematuria),Amaraso mu nkari,Amaraso m'umukoyo (hématurie),
EHEZA-U-0677,NCDDangerSign.SevereHeadaches,Severe Headaches,Kuribwa umutww bikabije,Ukumeneka umutwe gukaze,Madax xanuun aad u daran
EHEZA-U-0678,NCDDangerSign.LossOfConciousness,Loss of Consciousness Since Last Visit,Yataye ubwenge kandi ntiyumva kuva isura riheruka,Yarataye ubwenge kuva k'urugendo rwanyuma,
EHEZA-U-0679,NCDLabsCaseManagementEntryTypeResults,NCD Lab Results,Ibisubizo by'ibizamini by'indwara zitandura,Inyishu z'ibipimo z'ingwara zitandukira,
EHEZA-U-0680,NCDMedicalHistoryTask.TaskCoMorbidities,Co-Morbidities,Ubundi burwayi asanganywe.,Ingwara zirihamwe canke zegeranye,
EHEZA-U-0681,NCDMedicalHistoryTask.TaskSocialHistory,Social History,Amakuru ku mibereho ye,Akahise k'imibereho,
EHEZA-U-0682,NCDMedicalHistoryTask.TaskFamilyHistory,Family History,Amakuru ku muryango,Kahise k'umuryango,
EHEZA-U-0683,NCDMedicalHistoryTask.TaskOutsideCare,Outside Care,Kuvurirwa ku rindi vuriro,Ukuvurirwa hanze,
EHEZA-U-0684,NCDGroup1Symptom.SwellingInLegs,Swelling in Legs,Kubyimba amaguru,Kuvyimba amaguru,Barar Lugaha ah
EHEZA-U-0685,NCDGroup1Symptom.UrinaryFrequency,Urinary Frequency,Yihagarika inshuro nyinshi,Incuro z'ugusoba,
EH-NCD-028,NCDGroup1Symptom.Anxiety,Anxiety,Kubura amahoro,Akabonge,
EHEZA-U-0686,NCDGroup1Symptom.Palpitations,Palpitations,Umutima urasimbagurika,Itera ry'umutima,Wadne Garaac
EHEZA-U-0687,NCDGroup1Symptom.Tremor,Tremor,Ibicuro,Kujugumira,Jarays/ Laleemo
EHEZA-U-0688,NCDGroup1Symptom.SwellingInFace,Swelling in Face,Kubyimba mu maso,Kuvyimba mu maso,Barar Wejiga ah
EHEZA-U-0689,NCDGroup1Symptom.SwellingInAbdomen,Swelling in Abdomen,Kubyimba Inda,Kuvyimba mu nda,Barar Caloosha ah
EHEZA-U-0690,NCDGroup1Symptom.DizzinessWithChangingPosition,Dizziness with Changing Position,Iyo ahinduye uko yari ameze ahita agira isereri,Kuzungurirwa hamwe no guhindura ikibanza,
EHEZA-U-0691,NCDGroup1Symptom.MildHeadache,Mild Headache,Kubabara umutwe byoroheje,Kubabara umutwe bisanzwe,Madax Xanuun yar
EHEZA-U-0692,NCDGroup2Symptom.WeaknessOfOneSideOfTheBody,Weakness of One Side of the Body,Kunanirwa igice kimwe cy'umubiri,Intege nke zuruhande rumwe rw'umubiri,
EHEZA-U-0693,NCDGroup2Symptom.ProblemsWithWalking,Problems with Walking,Kunanirwa kugenda,Ingorane zo gutambuka,Dhibaato la xiriirta Socodka
EHEZA-U-0694,NCDGroup2Symptom.ProblemsWithTalking,Problems with Talking,Kunanirwa kuvuga,Ingorane zo kuvuga,Dhibaato la xiriirta Hadalka
EHEZA-U-0695,NCDGroup2Symptom.DecreasedVision,Decreased Vision,Kutareba neza,Ipunguka ryo kubona,
EHEZA-U-0696,NCDGroup2Symptom.BlurryVision,Blurry Vision,Kureba ibikezikezi,Ugukanura nabi,
EHEZA-U-0697,NCDGroup2Symptom.IncreasedFatigueWithDailyActivities,Increased Fatigue with Daily Activities,Kwiyongera ku munaniro,Kongereza uburuhe mu gukora ibikorwa vyari buri munsi,
EHEZA-U-0698,NCDGroup2Symptom.ShortOfBreathWhenLayingDown,Short of Breath When Laying Down,Guhumeka nabi igihe aryamye,Ibura ry'impwemu mu gihe aryamye hasi,Neefsasho Cariiri ah markuu Jiifsado
EHEZA-U-0699,NCDGroup2Symptom.ShortOfBreathAtNight,Short of Breath at Night,Guhumeka nabi nijoro,Ibura ry'impwemu mw'ijoro,Neefsasho Cariiri ah Habeenkii
EHEZA-U-0700,NCDGroup2Symptom.KidneyProblems,Kidney Problems,Ibibazo by'impyiko,Ingorane z'amafyigo,
EHEZA-U-0701,NCDGroup2Symptom.NCDIncreasedThirst,Increased Thirst,Kugira inyota cyane,Kongereza inyota,Oon sii badanaya
EHEZA-U-0702,NCDPainSymptom.PainFlank,Flank,Ibindo,Urubavu,Qaar
EHEZA-U-0703,NCDPainSymptom.PainLowerBack,Lower Back,Umugongo wo hasi,Lower Back,Dhinaca Dambe
EHEZA-U-0704,NCDPainSymptom.PainFeet,Feet,Ibirenge,Ibirenge,Cag
EHEZA-U-0705,NCDProgressReport,NCD Progress Report,Raporo ku Burwayi Butandura,Uguterintambwe mu cegeranyo c'ingwara zitandukira,
EHEZA-U-0706,NCDRiskFactor.RiskFactorSmokeCigarettes,Smokes Cigarettes,Anywa Itabi,Aranywa itabi,
EHEZA-U-0707,NCDRiskFactor.RiskFactorConsumeSalt,Adds Salt to Diet,Wongera Umunyu mu biryo,Kwongeramwo umunyu mu bifungurwa,
EHEZA-U-0708,NCDRiskFactor.RiskFactorHypertensionHistory,Family History of Hypertension,Amakuru y'Uburwayi bw'Umuvuduko mu Muryango,Kahise k'umuryango kuvyerekeye umuvuduko udaszwe w'amaraso,
EHEZA-U-0709,NCDRiskFactor.RiskFactorHearProblemHistory,Family History of Heart Problems,Amakuru y'Indwara z'Umutima mu Muryango,Kahise k'umuryango kuvyerekeye ingorane z'umutima,
EHEZA-U-0710,NCDRiskFactor.RiskFactorDiabetesHistory,Family History of Diabetes,Amakuru y'Indwara ya Diyabete mu Muryango,Kahise k'umuryango kuvyerekeye ingwara ya Diyabete,
EHEZA-U-0711,Neck,Neck,Ijosi,Izosi,Qoorta
EHEZA-U-0712,NeckCPESign.EnlargedThyroid,Enlarged Thyroid,Umwingo,Tiroyide yagutse,
