id,field_person,field_related_by,field_related_to
33757,29624,parent,33756
33759,29625,parent,33758
33761,29626,parent,33760
33763,29627,parent,33762
33765,29628,parent,33764
33767,29629,parent,33766
33769,29630,parent,33768
33771,29631,parent,33770
33773,29632,parent,33772
33775,29633,parent,33774
33777,29634,parent,33776
33779,29635,parent,33778
33781,29636,parent,33780
33783,29637,parent,33782
33785,29638,parent,33784
33787,29639,parent,33786
33789,29640,parent,33788
33791,29641,parent,33790
33793,29642,parent,33792
33795,29643,parent,33794
33797,29644,parent,33796
33799,29645,parent,33798
33801,29646,parent,33800
33803,29647,parent,33802
33805,29648,parent,33804
33807,29649,parent,33806
33809,29650,parent,33808
33811,29651,parent,33810
33813,29652,parent,33812
33815,29653,parent,33814
33817,29654,parent,33816
33819,29655,parent,33818
33821,29656,parent,33820
33823,29657,parent,33822
33825,29658,parent,33824
33827,29659,parent,33826
33829,29660,parent,33828
33831,29661,parent,33830
33833,29662,parent,33832
33835,29663,parent,33834
33837,29664,parent,33836
33839,29665,parent,33838
33841,29666,parent,33840
33843,29667,parent,33842
33845,29668,parent,33844
33847,29669,parent,33846
33849,29670,parent,33848
33851,29671,parent,33850
33853,29672,parent,33852
33855,29673,parent,33854
33857,29674,parent,33856
33859,29675,parent,33858
33861,29676,parent,33860
33863,29677,parent,33862
33865,29678,parent,33864
33867,29679,parent,33866
33869,29680,parent,33868
33871,29681,parent,33870
33873,29682,parent,33872
33875,29683,parent,33874
33877,29684,parent,33876
33879,29685,parent,33878
33881,29686,parent,33880
33883,29687,parent,33882
33885,29688,parent,33884
33887,29689,parent,33886
33889,29690,parent,33888
33891,29691,parent,33890
33893,29692,parent,33892
33895,29693,parent,33894
33897,29694,parent,33896
33899,29695,parent,33898
33901,29696,parent,33900
33903,29697,parent,33902
33905,29698,parent,33904
33907,29699,parent,33906
33909,29700,parent,33908
33911,29701,parent,33910
33913,29702,parent,33912
33915,29703,parent,33914
33917,29704,parent,33916
33919,29705,parent,33918
33921,29706,parent,33920
33923,29707,parent,33922
33925,29708,parent,33924
33927,29709,parent,33926
33929,29710,parent,33928
33931,29711,parent,33930
33933,29712,parent,33932
33935,29713,parent,33934
33937,29714,parent,33936
33939,29715,parent,33938
33941,29716,parent,33940
33943,29717,parent,33942
33945,29718,parent,33944
33947,29719,parent,33946
33949,29720,parent,33948
33951,29721,parent,33950
33953,29722,parent,33952
33955,29723,parent,33954
33957,29724,parent,33956
33959,29725,parent,33958
33961,29726,parent,33960
33963,29727,parent,33962
33965,29728,parent,33964
33967,29729,parent,33966
33969,29730,parent,33968
33971,29731,parent,33970
33973,29732,parent,33972
33975,29733,parent,33974
134279,29733,parent,134277
33977,29734,parent,33976
33979,29735,parent,33978
33981,29736,parent,33980
33983,29737,parent,33982
33985,29738,parent,33984
33987,29739,parent,33986
33989,29740,parent,33988
33991,29741,parent,33990
33993,29742,parent,33992
33995,29743,parent,33994
33997,29744,parent,33996
33999,29745,parent,33998
34001,29746,parent,34000
34003,29747,parent,34002
34005,29748,parent,34004
34007,29749,parent,34006
34009,29750,parent,34008
34191,29841,parent,34190
34193,29842,parent,34192
34195,29843,parent,34194
34197,29844,parent,34196
34199,29845,parent,34198
34201,29846,parent,34200
34203,29847,parent,34202
34205,29848,parent,34204
34207,29849,parent,34206
34209,29851,parent,34208
34211,29852,parent,34210
34213,29853,parent,34212
34215,29854,parent,34214
34219,29856,parent,34218
34221,29857,parent,34220
34223,29858,parent,34222
34225,29859,parent,34224
34227,29860,parent,34226
34229,29861,parent,34228
34231,29862,parent,34230
34233,29863,parent,34232
34235,29864,parent,34234
34237,29865,parent,34236
34239,29866,parent,34238
34241,29867,parent,34240
34247,29870,parent,34246
34249,29871,parent,34248
34251,29872,parent,34250
34253,29873,parent,34252
34255,29874,parent,34254
34257,29875,parent,34256
34259,29876,parent,34258
34261,29877,parent,34260
34263,29878,parent,34262
34265,29879,parent,34264
34267,29880,parent,34266
34269,29881,parent,34268
34271,29882,parent,34270
34273,29883,parent,34272
34275,29884,parent,34274
34277,29885,parent,34276
34279,29886,parent,34278
34281,29887,parent,34280
34283,29888,parent,34282
34285,29889,parent,34284
34287,29890,parent,34286
34289,29891,parent,34288
34291,29892,parent,34290
34293,29893,parent,34292
34295,29894,parent,34294
34297,29895,parent,34296
34299,29896,parent,34298
34301,29897,parent,34300
34303,29898,parent,34302
34305,29899,parent,34304
34307,29900,parent,34306
34309,29901,parent,34308
34311,29902,parent,34310
34313,29903,parent,34312
34315,29904,parent,34314
34317,29905,parent,34316
34319,29906,parent,34318
34321,29907,parent,34320
34323,29908,parent,34322
34325,29909,parent,34324
34327,29910,parent,34326
34329,29911,parent,34328
34331,29912,parent,34330
34333,29913,parent,34332
34335,29914,parent,34334
34337,29915,parent,34336
34339,29916,parent,34338
34341,29917,parent,34340
34343,29918,parent,34342
34345,29919,parent,34344
34347,29920,parent,34346
34349,29921,parent,34348
34351,29922,parent,34350
35569,30531,parent,35568
35571,30532,parent,35570
35573,30533,parent,35572
35575,30534,parent,35574
35577,30535,parent,35576
35579,30536,parent,35578
35581,30537,parent,35580
35583,30538,parent,35582
35585,30539,parent,35584
35587,30540,parent,35586
35589,30541,parent,35588
35591,30542,parent,35590
35593,30543,parent,35592
35595,30544,parent,35594
35597,30545,parent,35596
35599,30546,parent,35598
36547,31016,parent,36546
37373,31430,parent,37372
37375,31431,parent,37374
37377,31432,parent,37376
37379,31433,parent,37378
37381,31434,parent,37380
37385,31435,parent,37384
37389,31436,parent,37388
37391,31437,parent,37390
37393,31438,parent,37392
37397,31439,parent,37396
37383,31440,parent,37382
37387,31441,parent,37386
37395,31442,parent,37394
37399,31443,parent,37398
37401,31444,parent,37400
37403,31445,parent,37402
37405,31447,parent,37404
37407,31448,parent,37406
38059,31773,parent,38058
41185,41183,parent,41182
72358,41183,parent,72354
45622,45619,parent,45620
49367,49365,parent,49364
49371,49369,parent,49368
49375,49373,parent,49372
49379,49377,parent,49376
49383,49381,parent,49380
49387,49385,parent,49384
49391,49389,parent,49388
49395,49393,parent,49392
49399,49397,parent,49396
49403,49400,parent,49401
49407,49404,parent,49405
49411,49408,parent,49409
49415,49412,parent,49413
49418,49416,parent,49417
49421,49416,parent,49419
49425,49422,parent,49423
58512,58509,parent,58510
59283,59280,parent,59281
59325,59285,parent,59323
59322,59287,parent,59320
59293,59291,parent,59290
59297,59295,parent,59294
59301,59299,parent,59298
59305,59303,parent,59302
59310,59308,parent,59307
59315,59313,parent,59312
59319,59317,parent,59316
59327,59326,parent,59289
59330,59326,parent,59328
59334,59331,parent,59332
59338,59335,parent,59336
65883,65881,parent,65880
71949,71946,parent,71947
71954,71951,parent,71952
71959,71956,parent,71957
71964,71961,parent,71962
71968,71965,parent,71966
71972,71969,parent,71970
71976,71973,parent,71974
71980,71977,parent,71978
71984,71981,parent,71982
71988,71985,parent,71986
71992,71989,parent,71990
71996,71993,parent,71994
72090,72087,parent,72088
72103,72100,parent,72101
72107,72104,parent,72105
77124,77122,parent,77121
84939,84936,parent,84937
84943,84940,parent,84941
84947,84944,parent,84945
84951,84948,parent,84949
84955,84952,parent,84953
84959,84956,parent,84957
84963,84960,parent,84961
84967,84964,parent,84965
84971,84968,parent,84969
84975,84972,parent,84973
84979,84976,parent,84977
84983,84980,parent,84981
84987,84984,parent,84985
84991,84988,parent,84989
84995,84992,parent,84993
84999,84996,parent,84997
85003,85000,parent,85001
85007,85004,parent,85005
85011,85008,parent,85009
85015,85012,parent,85013
85019,85016,parent,85017
85023,85020,parent,85021
85027,85024,parent,85025
85031,85028,parent,85029
90089,90086,parent,90087
90626,90623,parent,90624
90630,90627,parent,90628
91846,91843,parent,91844
91850,91847,parent,91848
91854,91851,parent,91852
91858,91855,parent,91856
99530,99527,parent,99528
99541,99538,parent,99539
99552,99549,parent,99550
99556,99553,parent,99554
99579,99576,parent,99577
99582,99576,parent,99580
99862,99859,parent,99860
105906,105903,parent,105904
106236,106233,parent,106234
115063,115061,parent,115060
116072,116069,parent,116070
128268,128265,parent,128266
128273,128270,parent,128271
134272,134269,parent,134270
134276,134273,parent,134274
134283,134280,parent,134281
134287,134284,parent,134285
134291,134288,parent,134289
134295,134292,parent,134293
135431,135428,parent,135429
137422,137420,parent,137370
137487,137484,parent,137485
137585,137582,parent,137583
137686,137683,parent,137684
137740,137737,parent,137738
137794,137741,parent,137792
137914,137912,parent,137911
137918,137915,parent,137916
138074,138071,parent,138072
142966,142914,parent,142964
182557,182554,parent,182555
182561,182558,parent,182559
182565,182562,parent,182563
182569,182566,parent,182567
182573,182570,parent,182571
182577,182574,parent,182575
183798,183795,parent,183796
188486,188483,parent,188484
188490,188487,parent,188488
188494,188491,parent,188492
188498,188495,parent,188496
31775,28590,parent,31774
31777,28591,parent,31776
31779,28592,parent,31778
73508,73506,caregiver,73505
