Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
83.7	7.853	8.587	9.321	10.145	11.073	12.123	13.315	14.676	16.037
83.8	7.871	8.606	9.342	10.167	11.097	12.149	13.344	14.708	16.072
83.9	7.888	8.625	9.363	10.190	11.122	12.176	13.373	14.740	16.107
84.0	7.906	8.644	9.383	10.212	11.146	12.203	13.402	14.772	16.142
84.1	7.923	8.663	9.404	10.235	11.171	12.229	13.432	14.805	16.177
84.2	7.940	8.682	9.425	10.257	11.195	12.256	13.461	14.837	16.213
84.3	7.958	8.702	9.445	10.280	11.220	12.283	13.491	14.869	16.248
84.4	7.976	8.721	9.466	10.302	11.244	12.310	13.520	14.902	16.283
84.5	7.993	8.740	9.487	10.325	11.269	12.337	13.550	14.934	16.318
84.6	8.011	8.760	9.508	10.348	11.294	12.364	13.580	14.967	16.354
84.7	8.029	8.779	9.529	10.371	11.319	12.391	13.609	15.000	16.390
84.8	8.046	8.798	9.550	10.393	11.344	12.418	13.639	15.033	16.426
84.9	8.064	8.818	9.571	10.416	11.368	12.445	13.669	15.065	16.461
85.0	8.082	8.837	9.592	10.439	11.393	12.473	13.699	15.098	16.497
85.1	8.100	8.856	9.613	10.462	11.418	12.500	13.729	15.131	16.534
85.2	8.117	8.876	9.634	10.485	11.443	12.527	13.759	15.164	16.570
85.3	8.135	8.895	9.655	10.508	11.468	12.555	13.789	15.197	16.605
85.4	8.153	8.915	9.676	10.531	11.494	12.582	13.819	15.230	16.642
85.5	8.171	8.934	9.697	10.554	11.519	12.610	13.849	15.264	16.678
85.6	8.189	8.954	9.719	10.577	11.544	12.637	13.879	15.297	16.714
85.7	8.207	8.973	9.740	10.600	11.569	12.665	13.910	15.330	16.751
85.8	8.225	8.993	9.761	10.623	11.594	12.692	13.940	15.363	16.787
85.9	8.242	9.012	9.782	10.646	11.619	12.720	13.970	15.397	16.824
86.0	8.260	9.032	9.803	10.669	11.644	12.747	14.000	15.430	16.860
86.1	8.278	9.051	9.825	10.692	11.670	12.775	14.031	15.464	16.897
86.2	8.296	9.071	9.846	10.715	11.695	12.803	14.061	15.497	16.933
86.3	8.314	9.091	9.867	10.739	11.720	12.830	14.091	15.531	16.970
86.4	8.332	9.110	9.888	10.762	11.745	12.858	14.122	15.564	17.006
86.5	8.350	9.130	9.910	10.785	11.770	12.885	14.152	15.597	17.043
86.6	8.368	9.149	9.931	10.808	11.796	12.913	14.182	15.631	17.079
86.7	8.386	9.169	9.952	10.831	11.821	12.941	14.213	15.664	17.116
86.8	8.403	9.188	9.973	10.854	11.846	12.968	14.243	15.698	17.152
86.9	8.421	9.208	9.994	10.877	11.871	12.996	14.273	15.731	17.189
87.0	8.439	9.227	10.015	10.900	11.896	13.024	14.304	15.765	17.226
87.1	8.457	9.247	10.037	10.923	11.922	13.051	14.334	15.798	17.262
87.2	8.475	9.266	10.058	10.946	11.947	13.079	14.364	15.832	17.299
87.3	8.492	9.286	10.079	10.969	11.972	13.106	14.395	15.865	17.335
87.4	8.510	9.305	10.100	10.992	11.997	13.134	14.425	15.899	17.372
87.5	8.528	9.324	10.121	11.015	12.022	13.161	14.455	15.932	17.409
87.6	8.546	9.344	10.142	11.038	12.047	13.189	14.485	15.965	17.445
87.7	8.563	9.363	10.163	11.061	12.072	13.216	14.516	15.999	17.482
87.8	8.581	9.383	10.184	11.084	12.098	13.244	14.546	16.032	17.519
87.9	8.599	9.402	10.205	11.107	12.123	13.271	14.576	16.066	17.555
88.0	8.616	9.421	10.226	11.130	12.148	13.299	14.607	16.099	17.592
88.1	8.634	9.441	10.247	11.153	12.173	13.326	14.637	16.133	17.628
88.2	8.651	9.460	10.268	11.176	12.198	13.354	14.667	16.166	17.665
88.3	8.669	9.479	10.289	11.199	12.223	13.381	14.697	16.200	17.702
88.4	8.686	9.498	10.310	11.221	12.248	13.409	14.728	16.233	17.739
88.5	8.704	9.518	10.331	11.244	12.273	13.436	14.758	16.266	17.775
88.6	8.722	9.537	10.352	11.267	12.298	13.464	14.788	16.300	17.812
88.7	8.739	9.556	10.373	11.290	12.323	13.491	14.818	16.333	17.848
88.8	8.757	9.575	10.394	11.313	12.348	13.518	14.848	16.367	17.885
88.9	8.774	9.595	10.415	11.336	12.373	13.546	14.879	16.400	17.921
89.0	8.792	9.614	10.436	11.358	12.398	13.573	14.909	16.433	17.958
89.1	8.809	9.633	10.457	11.381	12.422	13.600	14.939	16.466	17.994
89.2	8.827	9.652	10.477	11.404	12.447	13.628	14.969	16.500	18.031
89.3	8.844	9.671	10.498	11.427	12.472	13.655	14.999	16.533	18.068
89.4	8.862	9.690	10.519	11.449	12.497	13.682	15.029	16.566	18.103
89.5	8.879	9.709	10.540	11.472	12.522	13.710	15.059	16.600	18.140
89.6	8.896	9.728	10.561	11.495	12.547	13.737	15.090	16.633	18.177
89.7	8.913	9.747	10.581	11.517	12.572	13.765	15.120	16.667	18.214
89.8	8.931	9.767	10.602	11.540	12.596	13.792	15.150	16.700	18.250
89.9	8.948	9.786	10.623	11.563	12.621	13.819	15.180	16.733	18.287
90.0	8.966	9.805	10.644	11.585	12.646	13.846	15.210	16.767	18.323
90.1	8.983	9.824	10.664	11.608	12.671	13.874	15.240	16.800	18.360
90.2	9.000	9.843	10.685	11.631	12.696	13.901	15.270	16.833	18.396
90.3	9.018	9.862	10.706	11.653	12.720	13.928	15.300	16.866	18.433
90.4	9.035	9.881	10.726	11.676	12.745	13.955	15.330	16.900	18.469
90.5	9.052	9.900	10.747	11.698	12.770	13.983	15.360	16.933	18.506
90.6	9.069	9.918	10.768	11.721	12.795	14.010	15.390	16.967	18.543
90.7	9.087	9.937	10.788	11.743	12.820	14.037	15.421	17.000	18.580
90.8	9.104	9.956	10.809	11.766	12.844	14.064	15.451	17.033	18.616
90.9	9.121	9.975	10.830	11.789	12.869	14.092	15.481	17.067	18.653
91.0	9.138	9.994	10.850	11.811	12.894	14.119	15.511	17.100	18.690
91.1	9.155	10.013	10.871	11.834	12.919	14.146	15.541	17.134	18.726
91.2	9.173	10.032	10.892	11.856	12.943	14.173	15.571	17.167	18.763
91.3	9.190	10.051	10.912	11.879	12.968	14.201	15.601	17.200	18.800
91.4	9.207	10.070	10.933	11.901	12.993	14.228	15.631	17.234	18.836
91.5	9.224	10.089	10.953	11.924	13.018	14.255	15.662	17.267	18.873
91.6	9.241	10.108	10.974	11.947	13.042	14.282	15.692	17.301	18.910
91.7	9.259	10.127	10.995	11.969	13.067	14.310	15.722	17.334	18.947
91.8	9.276	10.146	11.015	11.992	13.092	14.337	15.752	17.368	18.983
91.9	9.293	10.164	11.036	12.014	13.117	14.364	15.782	17.402	19.021
92.0	9.310	10.183	11.056	12.037	13.142	14.392	15.813	17.435	19.058
92.1	9.327	10.202	11.077	12.059	13.166	14.419	15.843	17.469	19.094
92.2	9.344	10.221	11.098	12.082	13.191	14.446	15.873	17.502	19.131
92.3	9.361	10.240	11.118	12.104	13.216	14.473	15.903	17.535	19.168
92.4	9.378	10.258	11.139	12.127	13.241	14.501	15.934	17.569	19.205
92.5	9.396	10.277	11.159	12.149	13.265	14.528	15.964	17.603	19.242
92.6	9.413	10.296	11.180	12.172	13.290	14.556	15.994	17.636	19.279
92.7	9.430	10.315	11.201	12.195	13.315	14.583	16.025	17.671	19.317
92.8	9.447	10.334	11.221	12.217	13.340	14.610	16.055	17.704	19.354
92.9	9.464	10.353	11.242	12.240	13.365	14.638	16.085	17.738	19.391
93.0	9.481	10.372	11.262	12.262	13.390	14.665	16.116	17.772	19.428
93.1	9.498	10.391	11.283	12.285	13.414	14.693	16.146	17.806	19.465
93.2	9.515	10.409	11.304	12.308	13.439	14.720	16.177	17.840	19.503
93.3	9.532	10.428	11.324	12.330	13.464	14.748	16.207	17.873	19.540
93.4	9.550	10.447	11.345	12.353	13.489	14.775	16.237	17.907	19.577
93.5	9.567	10.466	11.366	12.376	13.514	14.803	16.268	17.942	19.615
93.6	9.584	10.485	11.386	12.398	13.539	14.830	16.298	17.975	19.652
93.7	9.601	10.504	11.407	12.421	13.564	14.858	16.329	18.010	19.690
93.8	9.618	10.523	11.428	12.444	13.589	14.886	16.360	18.044	19.727
93.9	9.635	10.542	11.448	12.467	13.614	14.913	16.390	18.078	19.765
94.0	9.652	10.561	11.469	12.489	13.639	14.941	16.421	18.112	19.804
94.1	9.670	10.580	11.490	12.512	13.664	14.969	16.452	18.146	19.841
94.2	9.687	10.599	11.511	12.535	13.690	14.997	16.483	18.181	19.879
94.3	9.704	10.618	11.532	12.558	13.715	15.024	16.513	18.215	19.916
94.4	9.721	10.637	11.552	12.581	13.740	15.052	16.545	18.250	19.955
94.5	9.738	10.656	11.573	12.603	13.765	15.080	16.576	18.284	19.993
94.6	9.756	10.675	11.594	12.626	13.790	15.108	16.606	18.318	20.030
94.7	9.773	10.694	11.615	12.649	13.816	15.136	16.637	18.353	20.069
94.8	9.790	10.713	11.636	12.672	13.841	15.164	16.669	18.388	20.107
94.9	9.807	10.732	11.657	12.695	13.866	15.192	16.700	18.423	20.146
95.0	9.825	10.751	11.678	12.718	13.891	15.220	16.731	18.457	20.184
95.1	9.842	10.770	11.699	12.741	13.917	15.248	16.762	18.492	20.222
95.2	9.859	10.789	11.719	12.764	13.942	15.276	16.793	18.527	20.261
95.3	9.877	10.809	11.740	12.787	13.968	15.304	16.825	18.562	20.300
95.4	9.894	10.828	11.761	12.810	13.993	15.333	16.856	18.597	20.338
95.5	9.912	10.847	11.783	12.833	14.019	15.361	16.887	18.632	20.376
95.6	9.929	10.866	11.804	12.857	14.044	15.389	16.919	18.667	20.415
95.7	9.946	10.885	11.825	12.880	14.070	15.417	16.950	18.702	20.454
95.8	9.964	10.905	11.846	12.903	14.095	15.446	16.982	18.737	20.493
95.9	9.981	10.924	11.867	12.926	14.121	15.474	17.013	18.773	20.532
96.0	9.998	10.943	11.888	12.949	14.147	15.502	17.045	18.808	20.571
96.1	10.016	10.963	11.909	12.973	14.172	15.531	17.077	18.844	20.611
96.2	10.033	10.982	11.930	12.996	14.198	15.560	17.109	18.879	20.650
96.3	10.051	11.001	11.952	13.019	14.224	15.588	17.140	18.915	20.689
96.4	10.068	11.021	11.973	13.043	14.250	15.617	17.172	18.950	20.729
96.5	10.086	11.040	11.994	13.066	14.276	15.646	17.204	18.986	20.768
96.6	10.103	11.059	12.015	13.090	14.302	15.674	17.236	19.022	20.808
96.7	10.121	11.079	12.037	13.113	14.328	15.703	17.268	19.058	20.847
96.8	10.139	11.099	12.058	13.137	14.354	15.732	17.300	19.094	20.887
96.9	10.156	11.118	12.080	13.161	14.380	15.761	17.333	19.130	20.927
97.0	10.174	11.137	12.101	13.184	14.406	15.790	17.365	19.166	20.967
97.1	10.191	11.157	12.123	13.208	14.432	15.819	17.398	19.203	21.007
97.2	10.209	11.177	12.144	13.232	14.458	15.848	17.430	19.239	21.048
97.3	10.227	11.197	12.166	13.256	14.485	15.878	17.463	19.275	21.088
97.4	10.245	11.216	12.188	13.279	14.511	15.907	17.495	19.312	21.128
97.5	10.262	11.236	12.209	13.303	14.538	15.936	17.528	19.349	21.169
97.6	10.280	11.256	12.231	13.327	14.564	15.966	17.561	19.385	21.210
97.7	10.298	11.276	12.253	13.351	14.591	15.995	17.594	19.422	21.250
97.8	10.316	11.295	12.275	13.375	14.617	16.025	17.627	19.459	21.292
97.9	10.334	11.315	12.297	13.400	14.644	16.055	17.660	19.496	21.333
98.0	10.352	11.336	12.319	13.424	14.671	16.084	17.693	19.533	21.374
98.1	10.370	11.355	12.341	13.448	14.698	16.114	17.727	19.571	21.416
98.2	10.388	11.376	12.363	13.472	14.725	16.144	17.760	19.608	21.457
98.3	10.407	11.396	12.385	13.497	14.752	16.174	17.793	19.646	21.498
98.4	10.425	11.416	12.407	13.521	14.779	16.204	17.827	19.684	21.540
98.5	10.443	11.436	12.429	13.546	14.806	16.235	17.861	19.721	21.582
98.6	10.461	11.456	12.452	13.570	14.833	16.265	17.895	19.760	21.624
98.7	10.480	11.477	12.474	13.595	14.861	16.295	17.929	19.797	21.666
98.8	10.498	11.497	12.496	13.620	14.888	16.326	17.963	19.836	21.709
98.9	10.516	11.518	12.519	13.645	14.916	16.356	17.997	19.874	21.751
99.0	10.535	11.538	12.542	13.670	14.943	16.387	18.031	19.913	21.794
99.1	10.554	11.559	12.564	13.695	14.971	16.418	18.066	19.951	21.837
99.2	10.572	11.579	12.587	13.720	14.999	16.449	18.100	19.990	21.880
99.3	10.591	11.600	12.610	13.745	15.027	16.480	18.135	20.028	21.922
99.4	10.609	11.621	12.633	13.770	15.055	16.511	18.170	20.068	21.966
99.5	10.628	11.642	12.655	13.796	15.083	16.542	18.205	20.107	22.010
