sex	age	l	m	s	SD2neg	SD1neg	SD0	SD1	SD2	SD3
1	187	1	171.4680	148.073	155.871	163.67	171.468	179.266	187.065	194.863
1	188	1	171.7773	148.392	156.187	163.982	171.777	179.573	187.368	195.163
1	189	1	172.0748	148.705	156.495	164.285	172.075	179.865	187.654	195.444
1	190	1	172.3606	149.009	156.793	164.577	172.361	180.144	187.928	195.712
1	191	1	172.6345	149.298	157.077	164.856	172.634	180.413	188.192	195.971
1	192	1	172.8967	149.582	157.353	165.125	172.897	180.668	188.44	196.212
1	193	1	173.1470	149.855	157.619	165.383	173.147	180.911	188.675	196.439
1	194	1	173.3856	150.119	157.875	165.63	173.386	181.141	188.897	196.652
1	195	1	173.6126	150.373	158.119	165.866	173.613	181.359	189.106	196.852
1	196	1	173.8280	150.617	158.354	166.091	173.828	181.565	189.302	197.039
1	197	1	174.0321	150.851	158.578	166.305	174.032	181.759	189.486	197.213
1	198	1	174.2251	151.076	158.792	166.509	174.225	181.942	189.658	197.374
1	199	1	174.4071	151.291	158.996	166.702	174.407	182.112	189.818	197.523
1	200	1	174.5784	151.497	159.191	166.885	174.578	182.272	189.966	197.659
1	201	1	174.7392	151.695	159.376	167.058	174.739	182.421	190.102	197.784
1	202	1	174.8896	151.883	159.552	167.221	174.89	182.559	190.227	197.896
1	203	1	175.0301	152.057	159.715	167.373	175.03	182.688	190.345	198.003
1	204	1	175.1609	152.229	159.873	167.517	175.161	182.805	190.449	198.093
1	205	1	175.2824	152.392	160.022	167.652	175.282	182.912	190.542	198.173
1	206	1	175.3951	152.543	160.16	167.778	175.395	183.013	190.63	198.247
1	207	1	175.4995	152.692	160.294	167.897	175.5	183.102	190.705	198.307
1	208	1	175.5959	152.828	160.417	168.007	175.596	183.185	190.774	198.364
1	209	1	175.6850	152.964	160.537	168.111	175.685	183.259	190.833	198.406
1	210	1	175.7672	153.088	160.648	168.207	175.767	183.327	190.887	198.446
1	211	1	175.8432	153.207	160.752	168.298	175.843	183.389	190.934	198.479
1	212	1	175.9133	153.321	160.852	168.382	175.913	183.444	190.975	198.506
1	213	1	175.9781	153.43	160.946	168.462	175.978	183.494	191.01	198.526
1	214	1	176.0380	153.535	161.036	168.537	176.038	183.539	191.04	198.541
1	215	1	176.0935	153.636	161.122	168.608	176.094	183.579	191.065	198.551
1	216	1	176.1449	153.734	161.204	168.675	176.145	183.615	191.086	198.556
1	217	1	176.1925	153.823	161.28	168.736	176.192	183.649	191.105	198.562
1	218	1	176.2368	153.915	161.355	168.796	176.237	183.678	191.118	198.559
1	219	1	176.2779	153.998	161.425	168.851	176.278	183.704	191.131	198.558
1	220	1	176.3162	154.079	161.492	168.904	176.316	183.729	191.141	198.553
1	221	1	176.3518	154.158	161.556	168.954	176.352	183.75	191.148	198.546
1	222	1	176.3851	154.24	161.622	169.003	176.385	183.767	191.149	198.53
1	223	1	176.4162	154.309	161.678	169.047	176.416	183.785	191.154	198.523
1	224	1	176.4453	154.383	161.737	169.091	176.445	183.8	191.154	198.508
1	225	1	176.4724	154.454	161.793	169.133	176.472	183.812	191.151	198.491
1	226	1	176.4976	154.524	161.848	169.173	176.498	183.822	191.147	198.472
1	227	1	176.5211	154.587	161.898	169.21	176.521	183.833	191.144	198.456
1	228	1	176.5432	154.648	161.947	169.245	176.543	183.841	191.14	198.438
