Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
71.4	6.451	7.012	7.573	8.197	8.892	9.669	10.540	11.522	12.504
71.5	6.467	7.029	7.592	8.217	8.914	9.693	10.567	11.551	12.535
71.6	6.482	7.046	7.610	8.237	8.935	9.716	10.593	11.580	12.567
71.7	6.498	7.063	7.628	8.257	8.957	9.740	10.619	11.608	12.598
71.8	6.513	7.080	7.647	8.277	8.979	9.764	10.645	11.637	12.629
71.9	6.528	7.097	7.665	8.296	9.000	9.788	10.671	11.666	12.660
72.0	6.544	7.113	7.683	8.316	9.022	9.811	10.697	11.694	12.691
72.1	6.559	7.130	7.701	8.336	9.044	9.835	10.723	11.723	12.723
72.2	6.574	7.147	7.719	8.356	9.065	9.858	10.749	11.751	12.754
72.3	6.589	7.163	7.737	8.375	9.086	9.882	10.774	11.780	12.785
72.4	6.604	7.180	7.755	8.395	9.108	9.905	10.800	11.808	12.815
72.5	6.619	7.196	7.773	8.414	9.129	9.929	10.826	11.836	12.846
72.6	6.635	7.213	7.791	8.434	9.150	9.952	10.851	11.864	12.877
72.7	6.650	7.229	7.809	8.453	9.172	9.975	10.877	11.892	12.907
72.8	6.664	7.246	7.827	8.473	9.193	9.998	10.902	11.920	12.938
72.9	6.679	7.262	7.844	8.492	9.214	10.021	10.927	11.948	12.968
73.0	6.694	7.278	7.862	8.511	9.235	10.044	10.952	11.975	12.998
73.1	6.709	7.294	7.880	8.530	9.256	10.067	10.978	12.003	13.029
73.2	6.724	7.311	7.897	8.549	9.277	10.090	11.003	12.031	13.059
73.3	6.739	7.327	7.915	8.568	9.297	10.113	11.028	12.059	13.089
73.4	6.753	7.343	7.932	8.588	9.318	10.135	11.053	12.086	13.119
73.5	6.768	7.359	7.950	8.607	9.339	10.158	11.078	12.113	13.149
73.6	6.783	7.375	7.967	8.626	9.360	10.181	11.103	12.141	13.179
73.7	6.797	7.391	7.985	8.644	9.380	10.203	11.127	12.168	13.209
73.8	6.812	7.407	8.002	8.663	9.401	10.226	11.152	12.195	13.239
73.9	6.827	7.423	8.019	8.682	9.422	10.248	11.177	12.222	13.268
74.0	6.841	7.439	8.036	8.701	9.442	10.271	11.201	12.250	13.298
74.1	6.856	7.455	8.054	8.720	9.462	10.293	11.226	12.277	13.327
74.2	6.870	7.471	8.071	8.738	9.483	10.316	11.250	12.304	13.357
74.3	6.885	7.486	8.088	8.757	9.503	10.338	11.275	12.330	13.386
74.4	6.899	7.502	8.105	8.776	9.524	10.360	11.299	12.357	13.416
74.5	6.913	7.518	8.122	8.794	9.544	10.382	11.324	12.384	13.445
74.6	6.928	7.533	8.139	8.813	9.564	10.404	11.348	12.411	13.474
74.7	6.942	7.549	8.156	8.831	9.584	10.426	11.372	12.437	13.503
74.8	6.956	7.565	8.173	8.850	9.604	10.448	11.396	12.464	13.531
74.9	6.970	7.580	8.190	8.868	9.624	10.470	11.420	12.490	13.560
75.0	6.985	7.596	8.207	8.886	9.644	10.492	11.444	12.516	13.589
75.1	6.998	7.611	8.223	8.904	9.664	10.514	11.468	12.543	13.618
75.2	7.012	7.626	8.240	8.922	9.684	10.535	11.492	12.569	13.646
75.3	7.026	7.641	8.257	8.940	9.703	10.557	11.515	12.595	13.675
75.4	7.041	7.657	8.273	8.959	9.723	10.578	11.539	12.621	13.702
75.5	7.055	7.672	8.290	8.976	9.742	10.600	11.562	12.646	13.731
75.6	7.068	7.687	8.306	8.994	9.762	10.621	11.585	12.672	13.759
75.7	7.082	7.702	8.323	9.012	9.781	10.642	11.609	12.698	13.787
75.8	7.096	7.717	8.339	9.030	9.801	10.663	11.632	12.723	13.814
75.9	7.110	7.732	8.355	9.048	9.820	10.684	11.655	12.749	13.842
76.0	7.123	7.747	8.371	9.065	9.839	10.705	11.678	12.773	13.869
76.1	7.137	7.762	8.387	9.083	9.858	10.726	11.701	12.799	13.897
76.2	7.151	7.777	8.403	9.100	9.877	10.747	11.723	12.824	13.924
76.3	7.164	7.792	8.420	9.118	9.896	10.768	11.746	12.848	13.951
76.4	7.178	7.807	8.436	9.135	9.915	10.788	11.769	12.873	13.978
76.5	7.191	7.821	8.452	9.152	9.934	10.809	11.791	12.898	14.005
76.6	7.205	7.836	8.467	9.170	9.953	10.829	11.813	12.923	14.032
76.7	7.218	7.851	8.483	9.187	9.972	10.850	11.836	12.947	14.058
76.8	7.231	7.865	8.499	9.204	9.990	10.870	11.858	12.972	14.085
76.9	7.245	7.880	8.515	9.221	10.009	10.890	11.880	12.996	14.111
77.0	7.258	7.895	8.531	9.238	10.027	10.911	11.902	13.020	14.137
77.1	7.271	7.909	8.546	9.255	10.046	10.931	11.925	13.044	14.164
77.2	7.285	7.923	8.562	9.272	10.064	10.951	11.946	13.068	14.190
77.3	7.298	7.938	8.578	9.289	10.083	10.971	11.968	13.092	14.216
77.4	7.311	7.952	8.593	9.306	10.101	10.991	11.990	13.116	14.242
77.5	7.325	7.967	8.609	9.323	10.119	11.011	12.012	13.140	14.268
77.6	7.338	7.981	8.624	9.340	10.138	11.031	12.033	13.164	14.294
77.7	7.351	7.995	8.640	9.356	10.156	11.051	12.055	13.187	14.319
77.8	7.364	8.010	8.655	9.373	10.174	11.070	12.077	13.211	14.345
77.9	7.378	8.024	8.671	9.390	10.192	11.090	12.098	13.234	14.370
78.0	7.391	8.039	8.686	9.407	10.210	11.110	12.120	13.258	14.396
78.1	7.404	8.053	8.702	9.424	10.229	11.130	12.141	13.281	14.421
78.2	7.417	8.067	8.718	9.440	10.247	11.149	12.162	13.304	14.446
78.3	7.431	8.082	8.733	9.457	10.265	11.169	12.184	13.328	14.472
78.4	7.444	8.096	8.749	9.474	10.283	11.189	12.205	13.351	14.497
78.5	7.457	8.111	8.764	9.491	10.301	11.208	12.227	13.375	14.522
78.6	7.471	8.125	8.780	9.507	10.319	11.228	12.248	13.398	14.547
78.7	7.484	8.140	8.795	9.524	10.338	11.248	12.269	13.421	14.572
78.8	7.497	8.154	8.811	9.541	10.356	11.267	12.291	13.445	14.598
78.9	7.511	8.169	8.826	9.558	10.374	11.287	12.313	13.468	14.623
79.0	7.524	8.183	8.842	9.575	10.392	11.307	12.334	13.491	14.648
79.1	7.538	8.198	8.858	9.592	10.411	11.327	12.355	13.514	14.674
79.2	7.551	8.213	8.874	9.609	10.429	11.347	12.377	13.538	14.699
79.3	7.565	8.227	8.890	9.626	10.448	11.367	12.399	13.561	14.724
79.4	7.579	8.242	8.906	9.643	10.466	11.387	12.420	13.585	14.750
79.5	7.593	8.257	8.922	9.660	10.484	11.407	12.442	13.608	14.774
79.6	7.606	8.272	8.938	9.678	10.503	11.427	12.464	13.632	14.800
79.7	7.620	8.287	8.954	9.695	10.522	11.447	12.485	13.655	14.826
79.8	7.634	8.302	8.970	9.712	10.540	11.467	12.507	13.679	14.851
79.9	7.648	8.317	8.986	9.730	10.559	11.487	12.529	13.703	14.876
80.0	7.662	8.332	9.002	9.747	10.578	11.508	12.551	13.726	14.902
80.1	7.676	8.348	9.019	9.765	10.597	11.528	12.573	13.750	14.928
80.2	7.691	8.363	9.035	9.783	10.616	11.549	12.595	13.774	14.953
80.3	7.705	8.379	9.052	9.800	10.635	11.569	12.617	13.798	14.979
80.4	7.720	8.394	9.069	9.818	10.654	11.590	12.640	13.822	15.005
80.5	7.734	8.410	9.085	9.836	10.674	11.611	12.662	13.847	15.031
80.6	7.749	8.425	9.102	9.854	10.693	11.631	12.685	13.871	15.057
80.7	7.763	8.441	9.119	9.872	10.713	11.652	12.707	13.895	15.084
80.8	7.778	8.457	9.136	9.891	10.732	11.673	12.730	13.920	15.110
80.9	7.793	8.473	9.153	9.909	10.752	11.695	12.753	13.945	15.136
81.0	7.808	8.489	9.171	9.928	10.772	11.716	12.776	13.969	15.162
81.1	7.823	8.506	9.188	9.946	10.792	11.737	12.799	13.994	15.189
81.2	7.839	8.522	9.205	9.965	10.812	11.759	12.822	14.019	15.216
81.3	7.854	8.538	9.223	9.984	10.832	11.781	12.845	14.044	15.243
81.4	7.869	8.555	9.241	10.003	10.852	11.803	12.869	14.069	15.270
81.5	7.885	8.572	9.258	10.022	10.873	11.824	12.892	14.095	15.297
81.6	7.901	8.589	9.277	10.041	10.893	11.847	12.916	14.120	15.324
81.7	7.916	8.606	9.295	10.060	10.914	11.869	12.940	14.146	15.352
81.8	7.932	8.623	9.313	10.080	10.935	11.891	12.964	14.172	15.380
81.9	7.948	8.640	9.331	10.099	10.956	11.914	12.988	14.198	15.408
