Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
57.6	3.688	4.042	4.396	4.794	5.244	5.755	6.337	7.003	7.670
57.7	3.706	4.062	4.418	4.818	5.271	5.784	6.369	7.039	7.709
57.8	3.725	4.083	4.440	4.843	5.297	5.813	6.401	7.075	7.749
57.9	3.744	4.103	4.463	4.867	5.324	5.843	6.434	7.111	7.788
58.0	3.763	4.124	4.485	4.891	5.351	5.872	6.466	7.146	7.827
58.1	3.781	4.144	4.507	4.916	5.377	5.901	6.498	7.182	7.866
58.2	3.800	4.165	4.529	4.940	5.404	5.930	6.530	7.218	7.905
58.3	3.818	4.185	4.552	4.964	5.430	5.959	6.562	7.253	7.944
58.4	3.837	4.205	4.574	4.988	5.457	5.988	6.594	7.289	7.983
58.5	3.856	4.226	4.596	5.013	5.483	6.018	6.626	7.324	8.022
58.6	3.874	4.246	4.618	5.037	5.510	6.047	6.659	7.360	8.061
58.7	3.893	4.266	4.640	5.061	5.536	6.076	6.690	7.395	8.099
58.8	3.911	4.287	4.662	5.085	5.562	6.104	6.722	7.430	8.138
58.9	3.929	4.307	4.684	5.109	5.589	6.133	6.754	7.465	8.177
59.0	3.948	4.327	4.706	5.133	5.615	6.162	6.786	7.500	8.215
59.1	3.966	4.347	4.728	5.157	5.641	6.191	6.818	7.535	8.253
59.2	3.985	4.367	4.750	5.181	5.667	6.220	6.849	7.571	8.292
59.3	4.003	4.387	4.772	5.205	5.694	6.248	6.881	7.605	8.330
59.4	4.021	4.407	4.794	5.228	5.720	6.277	6.912	7.640	8.368
59.5	4.039	4.427	4.815	5.252	5.745	6.305	6.944	7.675	8.406
59.6	4.057	4.447	4.837	5.276	5.771	6.334	6.975	7.710	8.444
59.7	4.076	4.467	4.859	5.299	5.797	6.362	7.006	7.744	8.482
59.8	4.094	4.487	4.880	5.323	5.823	6.390	7.037	7.779	8.520
59.9	4.112	4.507	4.902	5.346	5.848	6.418	7.068	7.813	8.557
60.0	4.130	4.527	4.923	5.370	5.874	6.447	7.099	7.847	8.595
60.1	4.148	4.546	4.945	5.393	5.900	6.475	7.130	7.881	8.632
60.2	4.165	4.566	4.966	5.416	5.925	6.503	7.161	7.915	8.670
60.3	4.183	4.585	4.987	5.440	5.951	6.531	7.192	7.950	8.707
60.4	4.201	4.605	5.009	5.463	5.976	6.559	7.223	7.983	8.744
60.5	4.219	4.624	5.030	5.486	6.001	6.586	7.253	8.017	8.781
60.6	4.237	4.644	5.051	5.509	6.027	6.614	7.284	8.051	8.818
60.7	4.254	4.663	5.072	5.532	6.052	6.642	7.314	8.085	8.855
60.8	4.272	4.683	5.093	5.555	6.077	6.669	7.344	8.118	8.892
60.9	4.290	4.702	5.114	5.578	6.102	6.697	7.375	8.152	8.929
61.0	4.307	4.721	5.135	5.601	6.127	6.724	7.405	8.185	8.965
61.1	4.325	4.740	5.156	5.624	6.152	6.752	7.435	8.218	9.002
61.2	4.343	4.760	5.177	5.646	6.177	6.779	7.465	8.251	9.038
61.3	4.360	4.779	5.198	5.669	6.202	6.806	7.495	8.285	9.074
61.4	4.377	4.798	5.218	5.692	6.226	6.833	7.525	8.318	9.110
61.5	4.395	4.817	5.239	5.714	6.251	6.860	7.555	8.351	9.146
61.6	4.412	4.836	5.260	5.737	6.276	6.887	7.585	8.384	9.182
61.7	4.429	4.855	5.280	5.759	6.300	6.914	7.614	8.416	9.218
61.8	4.447	4.874	5.301	5.782	6.325	6.941	7.644	8.449	9.254
61.9	4.464	4.893	5.322	5.804	6.349	6.968	7.673	8.482	9.290
62.0	4.481	4.912	5.342	5.826	6.374	6.995	7.703	8.514	9.325
62.1	4.498	4.930	5.362	5.849	6.398	7.022	7.732	8.547	9.361
62.2	4.516	4.949	5.383	5.871	6.422	7.048	7.762	8.579	9.396
62.3	4.533	4.968	5.403	5.893	6.447	7.075	7.791	8.611	9.431
62.4	4.550	4.987	5.423	5.915	6.471	7.101	7.820	8.643	9.467
62.5	4.567	5.005	5.444	5.937	6.495	7.128	7.849	8.675	9.502
62.6	4.584	5.024	5.464	5.959	6.519	7.154	7.878	8.707	9.537
62.7	4.600	5.042	5.484	5.981	6.543	7.180	7.907	8.739	9.572
62.8	4.617	5.061	5.504	6.003	6.567	7.206	7.936	8.771	9.607
62.9	4.634	5.079	5.524	6.025	6.591	7.233	7.964	8.803	9.641
63.0	4.651	5.098	5.544	6.047	6.614	7.259	7.993	8.834	9.676
63.1	4.668	5.116	5.564	6.068	6.638	7.285	8.022	8.866	9.711
