Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
58.7	4.056	4.416	4.775	5.175	5.621	6.121	6.683	7.318	7.952
58.8	4.078	4.439	4.800	5.201	5.650	6.152	6.717	7.354	7.991
58.9	4.100	4.462	4.825	5.228	5.679	6.183	6.751	7.391	8.031
59.0	4.121	4.485	4.849	5.255	5.707	6.214	6.784	7.427	8.069
59.1	4.142	4.508	4.874	5.281	5.736	6.245	6.818	7.463	8.109
59.2	4.164	4.531	4.899	5.308	5.765	6.276	6.851	7.499	8.148
59.3	4.185	4.554	4.924	5.335	5.793	6.307	6.884	7.535	8.186
59.4	4.206	4.577	4.948	5.361	5.822	6.338	6.917	7.571	8.225
59.5	4.227	4.600	4.973	5.387	5.850	6.368	6.951	7.607	8.264
59.6	4.249	4.623	4.997	5.414	5.878	6.399	6.984	7.643	8.302
59.7	4.270	4.646	5.022	5.440	5.907	6.429	7.017	7.679	8.341
59.8	4.291	4.668	5.046	5.466	5.935	6.460	7.049	7.714	8.379
59.9	4.311	4.691	5.070	5.492	5.963	6.490	7.082	7.750	8.417
60.0	4.332	4.713	5.094	5.518	5.991	6.520	7.115	7.785	8.455
60.1	4.353	4.735	5.118	5.544	6.018	6.550	7.147	7.820	8.493
60.2	4.374	4.758	5.142	5.569	6.046	6.580	7.179	7.855	8.531
60.3	4.394	4.780	5.166	5.595	6.074	6.610	7.211	7.890	8.568
60.4	4.414	4.802	5.189	5.620	6.101	6.639	7.244	7.925	8.606
60.5	4.435	4.824	5.213	5.646	6.128	6.669	7.275	7.959	8.643
60.6	4.455	4.846	5.236	5.671	6.156	6.698	7.307	7.994	8.680
60.7	4.475	4.868	5.260	5.696	6.183	6.727	7.339	8.028	8.717
60.8	4.495	4.889	5.283	5.721	6.210	6.756	7.370	8.062	8.754
60.9	4.515	4.911	5.306	5.746	6.236	6.785	7.402	8.096	8.791
61.0	4.535	4.932	5.329	5.771	6.263	6.814	7.433	8.130	8.827
61.1	4.555	4.954	5.352	5.796	6.290	6.843	7.464	8.164	8.863
61.2	4.575	4.975	5.375	5.820	6.316	6.872	7.495	8.197	8.899
61.3	4.595	4.996	5.398	5.845	6.343	6.900	7.526	8.231	8.935
61.4	4.614	5.017	5.421	5.869	6.369	6.929	7.557	8.264	8.971
61.5	4.634	5.039	5.443	5.893	6.395	6.957	7.587	8.297	9.007
61.6	4.653	5.059	5.466	5.918	6.422	6.985	7.618	8.330	9.043
61.7	4.672	5.080	5.488	5.942	6.448	7.013	7.648	8.363	9.079
61.8	4.692	5.101	5.511	5.966	6.474	7.041	7.679	8.396	9.114
61.9	4.711	5.122	5.533	5.990	6.499	7.069	7.709	8.429	9.149
62.0	4.730	5.143	5.555	6.014	6.525	7.097	7.739	8.462	9.185
